Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Edward Scissorhands,0.006620329,0.597014248,0.011786183,0.001674594,0.373844147,0.009060464,Realist,Present,Daytime,"['Romance', 'Fantasy', 'Drama']"
Eight Legged Freaks,0.235713884,0.618228197,0.102705821,0.002337383,0.036076091,0.004938611,Detective/Spy,Past,Daytime,"['Horror', 'Comedy', 'Sci-Fi', 'Action']"
El Mariachi,0.681280017,0.045999534,0.124804914,0.094196931,0.04207433,0.011644217,Realist,Present,Daytime,"['Thriller', 'Crime', 'Action']"
Election,0.419036478,0.390646249,0.038170196,0.003545737,0.146044225,0.002557092,Spouse/Lover/Ex,Past,Daytime,['Comedy']
Elizabeth The Golden Age,0.854951501,0.09761627,0.033435374,0.002798055,0.00996942,0.001229384,Detective/Spy,Past,Daytime,['Drama']
Enemy of the State,0.981471419,0.007879124,0.005447097,0.001455016,0.00343913,0.000308128,Realist,Past,Daytime,"['Thriller', 'Drama', 'Action']"
Enough,0.022156237,0.002391663,0.967875838,0.001592692,0.003876959,0.002106509,Realist,Present,Daytime,"['Thriller', 'Drama']"
Entrapment,0.055155862,0.087737881,0.82898885,0.002371906,0.010104223,0.015641278,Realist,Past,Nighttime,"['Thriller', 'Crime', 'Comedy', 'Action']"
Erik the Viking,0.003098315,0.993276894,0.000399065,0.000218967,0.000417258,0.002589435,Detective/Spy,Present,Daytime,['Fantasy']
Erin Brockovich,0.003521446,0.009594807,0.954880059,0.012359822,0.004708815,0.014934991,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
Escape From L.A.,0.201858804,0.646276951,0.008247523,0.002999654,0.137571946,0.003045067,Detective/Spy,Past,Daytime,"['Thriller', 'Adventure', 'Sci-Fi', 'Action']"
Escape From New York,0.552531421,0.142388195,0.271005243,0.004433195,0.02600584,0.003636117,Realist,Past,Nighttime,"['Thriller', 'Adventure', 'Sci-Fi', 'Action']"
Eternal Sunshine of the Spotless Mind,0.002999548,0.893297553,0.002713847,0.001165671,0.091356225,0.008467151,Realist,Past,Nighttime,"['Romance', 'Drama', 'Sci-Fi']"
Even Cowgirls Get the Blues,0.043062191,0.927599728,0.008517899,0.011512441,0.006745175,0.002562496,Realist,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
Event Horizon,0.030788282,0.160251141,0.064536951,0.003808051,0.73714143,0.003474163,Realist,Future,Daytime,"['Thriller', 'Horror', 'Sci-Fi']"
Evil Dead II Dead by Dawn,0.303883135,0.586108506,0.006963762,0.003061526,0.088502921,0.011480213,Fighter,Past,Daytime,"['Horror', 'Comedy', 'Fantasy', 'Action']"
Evil Dead,0.335643202,0.563079357,0.063871369,0.002970249,0.027042402,0.007393425,Realist,Past,Nighttime,"['Horror', 'Comedy', 'Fantasy']"
Ex Machina,0.001073495,0.00082593,0.996623278,0.000379353,0.000535735,0.000562176,Realist,Present,Daytime,"['Drama', 'Sci-Fi']"
Excalibur,0.965183437,0.021488663,0.000829019,0.000885582,0.011046997,0.000566322,Detective/Spy,Present,Nighttime,"['Adventure', 'Fantasy', 'Drama']"
